1 NSE Cal,2 R2 Cal,3 pBIAS Cal,4 RSR Cal,5 KGE Cal,6 NSE Cal,7 R2 Cal,8 pBIAS Cal,9 RSR Cal,10 KGE Cal,11 NSE Cal,12 R2 Cal,13 pBIAS Cal,14 RSR Cal,15 KGE Cal,16 NSE Cal for conc,17 R2 Cal for conc,18 pBIAS Cal for conc,19 RSR Cal for conc,20 KGE Cal for conc,21 NSE Cal for load,22 R2 Cal for load,23 pBIAS Cal for load,24 RSR Cal for load,25 KGE Cal for load,26 NSE Cal for yield,27 R2 Cal for yield,28 pBIAS Cal for yield,29 RSR Cal for yield,30 KGE Cal for yield,31 NSE Cal for conc,32 R2 Cal for conc,33 pBIAS Cal for conc,34 RSR Cal for conc,35 KGE Cal for conc,36 NSE Cal for load,37 R2 Cal for load,38 pBIAS Cal for load,39 RSR Cal for load,40 KGE Cal for load,41 NSE Cal for yield,42 R2 Cal for yield,43 pBIAS Cal for yield,44 RSR Cal for yield,45 KGE Cal for yield,46 NSE Cal for conc,47 R2 Cal for conc,48 pBIAS Cal for conc,49 RSR Cal for conc,50 KGE Cal for conc,51 NSE Cal for load,52 R2 Cal for load,53 pBIAS Cal for load,54 RSR Cal for load,55 KGE Cal for load,56 NSE Cal for yield,57 R2 Cal for yield,58 pBIAS Cal for yield,59 RSR Cal for yield,60 KGE Cal for yield,61 NSE Cal for conc,62 R2 Cal for conc,63 pBIAS Cal for conc,64 RSR Cal for conc,65 KGE Cal for conc,66 NSE Cal for load,67 R2 Cal for load,68 pBIAS Cal for load,69 RSR Cal for load,70 KGE Cal for load,71 NSE Cal for yield,72 R2 Cal for yield,73 pBIAS Cal for yield,74 RSR Cal for yield,75 KGE Cal for yield,76 NSE Cal for conc,77 R2 Cal for conc,78 pBIAS Cal for conc,79 RSR Cal for conc,80 KGE Cal for conc,81 NSE Cal for load,82 R2 Cal for load,83 pBIAS Cal for load,84 RSR Cal for load,85 KGE Cal for load,86 NSE Cal for yield,87 R2 Cal for yield,88 pBIAS Cal for yield,89 RSR Cal for yield,90 KGE Cal for yield,91 NSE Cal for conc,92 R2 Cal for conc,93 pBIAS Cal for conc,94 RSR Cal for conc,95 KGE Cal for conc,96 NSE Cal for load,97 R2 Cal for load,98 pBIAS Cal for load,99 RSR Cal for load,100 KGE Cal for load,101 NSE Cal for yield,102 R2 Cal for yield,103 pBIAS Cal for yield,104 RSR Cal for yield,105 KGE Cal for yield,106 NSE Cal for conc,107 R2 Cal for conc,108 pBIAS Cal for conc,109 RSR Cal for conc,110 KGE Cal for conc,111 NSE Cal for load,112 R2 Cal for load,113 pBIAS Cal for load,114 RSR Cal for load,115 KGE Cal for load,116 NSE Cal for yield,117 R2 Cal for yield,118 pBIAS Cal for yield,119 RSR Cal for yield,120 KGE Cal for yield,121 NSE Cal for conc,122 R2 Cal for conc,123 pBIAS Cal for conc,124 RSR Cal for conc,125 KGE Cal for conc,126 NSE Cal for load,127 R2 Cal for load,128 pBIAS Cal for load,129 RSR Cal for load,130 KGE Cal for load,131 NSE Cal for yield,132 R2 Cal for yield,133 pBIAS Cal for yield,134 RSR Cal for yield,135 KGE Cal for yield,136 NSE Cal for conc,137 R2 Cal for conc,138 pBIAS Cal for conc,139 RSR Cal for conc,140 KGE Cal for conc,141 NSE Cal for load,142 R2 Cal for load,143 pBIAS Cal for load,144 RSR Cal for load,145 KGE Cal for load,146 NSE Cal for yield,147 R2 Cal for yield,148 pBIAS Cal for yield,149 RSR Cal for yield,150 KGE Cal for yield
0.324,0.83,-22.9,0.8205,0.7,0.63,0.4,12.1,0.57,0.76,0.74,0.63,12.74,0.46,0.72,0.73,0.85,,,0.44,0.647,0.38,12.371,0.095,0.3,0.49,0.4,-21.735,0.3815,,0.88,0.8,7.57,0.35,,0.63,0.93,7.9,0.28,0.3,0.497,0.81,-22.245,0.328,,0.55,0.69,7.4,0.43,0.84,0.74,0.99,-1.1,0.598,,0.73,0.75,7.8,0.52,0.83,0.93,0.61,-0.45,,,,,,,,,,,,,0.4,0.71,-22.8,0.57,,0.46,0.56,-0.03,0.53,,,,,,,0.55,0.907,-22.7,0.65,,0.846,0.57,12.54,0.384,,0.64,,-1.7,0.54,0.73,0.19,0.42,,,,0.87,0.82,,,,,,,,,0.5,0.7955,0.8,0.62,,0.73,0.77,-5.8,0.52,0.76,0.11,0.69,77.43,,,0.76,0.82,24.32,,,0.44,0.815,16.6,0.75,0.62,0.52,,6.2,,
0.84,0.85,0.85,0.025,0.57,0.44,0.7,8.4,0.61,0.79,0.94,0.86,-5.25,0.7175,0.67,0.38,0.58,,,-0.15,0.593,0.6,-37.155,0.102,0.34,0.21,0.6,2,,,0.78,0.88,-23.4,0.74,,0.6,0.82,-1.5,0.58,0.79,0.67,0.77,-13.175,0.48,,0.54,0.67,-47.81,0.68,0.87,0.99,0.87,-15.87,0.658,,0.55,0.55,-14.6,0.67,0.81,0.21,0.84,-4.17,,,,,,,,,,,,,0.41,0.48,-22.8,0.7,,0.31,0.56,0.14,0.7,,,,,,,0.71,0.568,-3.38,0.75,,0.56,0.73,-8.32,0.37,,0.77,,24,0.63,0.69,0.09,0.42,,,,0.69,0.71,,,,,,,,,0.89,0.72,6.6,0.87,,0.9525,0.96,-9.4,0.3495,0.72,-0.34,0.52,86.37,,,0.886,0.906,-15.22,,,0.326,0.448,32.8,0.472,0.79,-0.35,,-64.8,,
0.78,0.8,-10.344,0.024,,0.54,0.76,-10.5,0.53,,0.98,0.98,-3.47,0.42,0.6,0.62,0.79,,,,0.28,0.72,,,,0.28,0.37,-59,,,0.76,0.54,-3.6,0.67,,0.92,0.31,0.6,0.61,0.01,0.8,,33.4,0.5,,0.69,0.69,25.3,0.56,,0.72,0.76,-0.6,,,0.826666667,0.903333333,-0.06,0.043333333,,0.31,0.65,1.74,,,,,,,,,,,,,0.45,0.23,-9.4,1.25,,0.81,0.54,-0.07,1.21,,,,,,,0.646,0.7568,-2.88,1.4,,0.61,0.66,12.28,0.54,,0.78,,0,,,,0.72,,,,0.81,0.65,,,,,,,,,0.85,0.97,2.7,1.16,,0.4,0.69,5.68,0.47,,-0.34,0.63,86.21,,,0.57,0.4092,50.53,,,0.79,0.85,8,0.49,,0.83,,-19.8,,
0.69,0.8,-5.104,,,0.84,0.77,1.95,0.57,,-0.23,0.55,-1.38,0.66,0.69,0.89,0.9,,,,0.09,0.4,,,,0.59,0.23,-105,,,0.775,0.54,34.5,0.61,,0.61,0.42,-12,0.61,0.73,0.77,,13.4,0.619,,0.76,0.82,0.5,0.47,,0.5,0.246,-20,,,0.13,0.2,7.4,0.68,,0.38,0.96,13.4,,,,,,,,,,,,,-0.44,0.18,-15.9,0.49,,0.72,0.69,13.7,0.5,,,,,,,0.37,0.32,2.48,0.51,,0.6,0.77,0.47,0.48,,0.66,,-1,,,,0.85,,,,0.68,0.82,,,,,,,,,-6.2,0.95,45.4,0.83,,0.15,0.63,15.95,0.61,,-0.27,0.59,53.8,,,0.68,0.8415,-18.12,,,0.772,0.84,29.2,0.09,,0.81,,-31,,
0.82,0.96,4.48,,,0.57,0.79,10,0.775,,0.82,0.6375,6.87,0.55,,0.6,0.69,,,,,,,,,0.57,0.8,19,,,0.45,0.54,-79.7,0.77,,0.23,0.35,8,3.12,,0.75,,30.65,,,0.7,0.74,-21.8,0.65,,0.81,0.94,-68.68,,,0.26,0.3,-0.06,0.7,,0.358,0.97,32.4,,,,,,,,,,,,,0.1,0.43,-4.8,0.58,,0.66,0.31,8.3,0.71,,,,,,,0.59,0.85,17.3,0.63,,0.76,0.75,1.99,0.68,,0.46,,-32,,,,0.85,,,,0.71,0.6,,,,,,,,,0.09,0.76,40.1,,,0.25,0.8,1.7,0.57,,-0.79,,43.82,,,0.74,0.48,,,,0.77,0.89,6.7,0.498,,0.4,,-32.15,,
0.98,0.73,,,,0.76,0.6,-1,0.401,,0.58,0.9,-6.7,0.71,,0.28,0.49,,,,,,,,,0.85,0.61,-16,,,0.54,0.45,11.1,0.75,,0.29,0.09,0,0.35,,-38.546,,47.55,,,0.76,0.79,-17.3,0.57,,0.83,0.72,-5.49,,,0.46,0.46,12.66,1.1,,0.56,0.52,-5.2,,,,,,,,,,,,,0.21,0.52,0,2.55,,0.11,0.65,12,0.47,,,,,,,0.7,0.86,11.2,3.09,,0.72,0.67,-4.9,0.54,,0.64,,-12.1,,,,0.82,,,,,0.71,,,,,,,,,-0.17,0.56,43.6,,,0.77,0.91,8,0.6,,0.19,,95,,,0.57,0.5,,,,0.82,0.86,45.14,0.61,,-0.43,,-64.2,,
0.98,0.91,,,,0.68,0.72,11.3,0.45,,0.8,0.825,-14.7,0.5,,0.47,0.49,,,,,,,,,,0.7,-36,,,0.72,0.66,,,,0.42,0.37,-4,0.7,,-0.28,,21.74,,,0.64,0.71,-9.4,,,0.134,0.73,-29.33,,,0.387,0.81,20.71,0.6,,-1.42,0.25,5.3,,,,,,,,,,,,,0.68,0.71,4.75,,,0.52,0.34,5.6,0.74,,,,,,,0.57,0.99,7.81,,,0.51,0.72,18.8,0.87,,0.65,,35,,,,0.19,,,,,0.54,,,,,,,,,0.62,0.36,13.73,,,0.78,0.68,-8,0.5145,,0.33,,73.27,,,0.56,0.69,,,,0.26,0.86,-4.15,0.51,,0.63,,-19.8,,
0.93,0.96,,,,0.6,0.82,14.4,0.68,,0.5,0.6125,-23.9,0.502,,0.7,0.79,,,,,,,,,,0.89,,,,0.53,0.68,,,,0.28,0.8,-2,0.65,,0.02,,-13.82,,,0.85,0.69,-7.3,,,0.93,0.71,12.14,,,0.346,0.82,-84,0.29,,0.29,0.28,0.77,,,,,,,,,,,,,0.52,0.86,-4.73,,,-0.47,0.29,-10.41,0.51,,,,,,,0.43,0.99,11.6,,,0.86,0.56,5.6,0.772,,0.4,,5,,,,0.25,,,,,0.73,,,,,,,,,0.24,0.0619,9.92,,,0.62,0.73,-7.86,0.31,,-0.62,,10.05,,,0.53,0.76,,,,0.36,0.7,8,0.854,,0.63,,7,,
0.97,0.87,,,,0.71,0.64,-2.5,0.45,,0.84,0.6,-4.6,0.066666667,,0.47,0.58,,,,,,,,,,,,,,0.44,0.61,,,,-0.1,0.765,5.85,,,0.48,,2.5,,,0.8,0.77,-10.7,,,0.68,0.81,-1.1,,,-0.1,0.7,-14,0.45,,0.9,-0.12,0.75,,,,,,,,,,,,,-0.56,0.68,-1.25,,,0.75,0.49,-6.96,0.55,,,,,,,-0.95,0.888,37.2,,,0.7,0.73,-8.56,0.43,,,,2,,,,-1.4,,,,,0.56,,,,,,,,,0.78,0.24,-7.6,,,0.67,0.95,7.34,0.39,,0.0012,,,,,0.49,0.68,,,,0.76,0.745,-8,0.87,,,,,,
0.974,0.61,,,,0.4,0.59,-12.7,0.64,,0.7,0.905,-10.4,0.046666667,,0.25,0.32,,,,,,,,,,,,,,0.33,0.67,,,,0.37,0.4,27.44,,,0.75,,61.01,,,0.64,0.57,-24.7,,,0.43,0.85,7.29,,,0.7,0.8,6.4,0.69,,0.77,0.51,0.42,,,,,,,,,,,,,0.25,0.97,-42.4,,,0.5,0.51,-19.6,0.74,,,,,,,0.54,0.35,-5.3,,,0.3,0.44,-19.3,0.61,,,,25,,,,0.09,,,,,,,,,,,,,,0.87,0.65,14.3,,,0.64,0.75,23.21,0.75,,-0.85,,,,,0.74,0.81,,,,0.74,0.416,-9.75,0.06,,,,,,
0.978,0.9,,,,0.68,0.67,-2.7,0.64,,0.84,0.774,-12.6,0.73,,0.66,0.42,,,,,,,,,,,,,,0.33,0.8,,,,0.77,0.41,18.85,,,0.74,,-256.42,,,0.8,,-2,,,0.636,0.47,61.56,,,-72.098,0.61,0.8,0.063333333,,0.75,0.96,0.25,,,,,,,,,,,,,0.62,0.98,-26.4,,,0.78,0.97,-32.2,,,,,,,,0.45,0.42,3.4,,,0.71,0.4,22.7,0.58,,,,,,,,,,,,,,,,,,,,,,0.58,0.39,-2.5,,,0.87,0.91,0.8,0.54,,,,,,,0.77,0.73,,,,0.97,0.75,24.32,0.496,,,,,,
0.88,0.98,,,,0.62,0.66,-8,0.5,,0.728,0.76,-5.7,0.62,,0.59,0.26,,,,,,,,,,,,,,0.27,0.48,,,,0.75,0.6,8.42,,,0.07,,-11.68,,,0.7,,4.5,,,0.53,0.93,26.55,,,0.6,0.8,-2.3,0.72,,0.42,0.6,1.16,,,,,,,,,,,,,0.62,0.85,10.6,,,-0.35,0.24,13.6,,,,,,,,-1.08,0.43,10.5,,,0.77,0.46,0.2,0.49,,,,,,,,,,,,,,,,,,,,,,-0.07,0.77,45.8,,,0.807,0.94,-7.8,0.6505,,,,,,,0.67,0.62,,,,0.66,0.24,-9,0.64,,,,,,
0.71,0.89,,,,0.755,0.43,2,0.7,,0.65,0.68,-21.8,0.65,,0.54,0.13,,,,,,,,,,,,,,0.7785,0.45,,,,0.53,0.63,15.36,,,0.865,,,,,0.74,,-30.68,,,0.32,0.645,33.77,,,0.79,0.52,-7.1,0.74,,0.25,0.95,-5.97,,,,,,,,,,,,,0.62,0.75,32.4,,,0.48,0.47,-22.9,,,,,,,,0.51,0.04,3.34,,,0.54,0.85,43.6,0.84,,,,,,,,,,,,,,,,,,,,,,0.33,0.32,-9.3,,,-0.05,0.76,-10,0.63,,,,,,,0.56,0.8,,,,0.352,0.53,-17.42,,,,,,,
0.68,0.74,,,,0.53,0.68,8.5,0.53,,0.58,0.89,-17.3,0.56,,0.94,0.7,,,,,,,,,,,,,,0.83,0.52,,,,0.39,0.81,24.73,,,0.99,,,,,0.58,,25.2,,,0.79,0.53,-1.39,,,0.53,0.9,-7.16,3.6,,0.91,0.95,1.55,,,,,,,,,,,,,-1.69,0.61,-5.5,,,0.89,0.45,-0.9,,,,,,,,-3.82,0.99,-3.35,,,0.71,0.77,22.76,0.88,,,,,,,,,,,,,,,,,,,,,,-1.9,0.79,37,,,0.9,0.6,-10,0.67,,,,,,,0.51,0.79,,,,0.81,0.53,-12.14,,,,,,,
0.82,0.86,,,,0.768,0.88,-16.265,0.57,,0.88,0.89,-9.4,0.28,,0.48,0.73,,,,,,,,,,,,,,0.64,0.36,,,,0.38,0.94,-16.15,,,0.7,,,,,0.67,,1.5,,,0.84,0.37,-5.3,,,0.81,0.13,-11.67,1.5,,-0.07,0.46,-13.7,,,,,,,,,,,,,0.35,0.85,4.9,,,0.84,0.51,-0.02,,,,,,,,0.44,0.71,-0.45,,,0.24,0.73,24.07,,,,,,,,,,,,,,,,,,,,,,,0.04,0.33,-8.33,,,0.84,0.71,-13.1,0.78,,,,,,,0.61,0.72,,,,0.744,0.58,9.7,,,,,,,
0.46,0.84,,,,0.61,0.97,7.04,0.48,,0.82,0.65,-7.3,0.23,,0.55,0.71,,,,,,,,,,,,,,0.76,0.36,,,,0.5,0.47,-108.76,,,-0.01,,,,,0.81,,-14.7,,,-0.05,0.88,43.5,,,-0.05,0.11,10.02,0.34,,0.46,0.2,42.6,,,,,,,,,,,,,0.92,0.73,0.84,,,0.45,0.49,-0.26,,,,,,,,0.96,0.96,4.6,,,-0.21,0.74,-28.73,,,,,,,,,,,,,,,,,,,,,,,-0.64,0.58,-10.35,,,0.44,0.69,8.52,0.56,,,,,,,0.41,0.71,,,,0.53,0.49,-5.56,,,,,,,
