1 NSE Cal,2 R2 Cal,3 pBIAS Cal,4 RSR Cal,5 KGE Cal,6 NSE Cal,7 R2 Cal,8 pBIAS Cal,9 RSR Cal,10 KGE Cal,11 NSE Cal,12 R2 Cal,13 pBIAS Cal,14 RSR Cal,15 KGE Cal,16 NSE Cal for conc,17 R2 Cal for conc,18 pBIAS Cal for conc,19 RSR Cal for conc,20 KGE Cal for conc,21 NSE Cal for load,22 R2 Cal for load,23 pBIAS Cal for load,24 RSR Cal for load,25 KGE Cal for load,26 NSE Cal for yield,27 R2 Cal for yield,28 pBIAS Cal for yield,29 RSR Cal for yield,30 KGE Cal for yield,31 NSE Cal for conc,32 R2 Cal for conc,33 pBIAS Cal for conc,34 RSR Cal for conc,35 KGE Cal for conc,36 NSE Cal for load,37 R2 Cal for load,38 pBIAS Cal for load,39 RSR Cal for load,40 KGE Cal for load,41 NSE Cal for yield,42 R2 Cal for yield,43 pBIAS Cal for yield,44 RSR Cal for yield,45 KGE Cal for yield,46 NSE Cal for conc,47 R2 Cal for conc,48 pBIAS Cal for conc,49 RSR Cal for conc,50 KGE Cal for conc,51 NSE Cal for load,52 R2 Cal for load,53 pBIAS Cal for load,54 RSR Cal for load,55 KGE Cal for load,56 NSE Cal for yield,57 R2 Cal for yield,58 pBIAS Cal for yield,59 RSR Cal for yield,60 KGE Cal for yield,61 NSE Cal for conc,62 R2 Cal for conc,63 pBIAS Cal for conc,64 RSR Cal for conc,65 KGE Cal for conc,66 NSE Cal for load,67 R2 Cal for load,68 pBIAS Cal for load,69 RSR Cal for load,70 KGE Cal for load,71 NSE Cal for yield,72 R2 Cal for yield,73 pBIAS Cal for yield,74 RSR Cal for yield,75 KGE Cal for yield,76 NSE Cal for conc,77 R2 Cal for conc,78 pBIAS Cal for conc,79 RSR Cal for conc,80 KGE Cal for conc,81 NSE Cal for load,82 R2 Cal for load,83 pBIAS Cal for load,84 RSR Cal for load,85 KGE Cal for load,86 NSE Cal for yield,87 R2 Cal for yield,88 pBIAS Cal for yield,89 RSR Cal for yield,90 KGE Cal for yield,91 NSE Cal for conc,92 R2 Cal for conc,93 pBIAS Cal for conc,94 RSR Cal for conc,95 KGE Cal for conc,96 NSE Cal for load,97 R2 Cal for load,98 pBIAS Cal for load,99 RSR Cal for load,100 KGE Cal for load,101 NSE Cal for yield,102 R2 Cal for yield,103 pBIAS Cal for yield,104 RSR Cal for yield,105 KGE Cal for yield,106 NSE Cal for conc,107 R2 Cal for conc,108 pBIAS Cal for conc,109 RSR Cal for conc,110 KGE Cal for conc,111 NSE Cal for load,112 R2 Cal for load,113 pBIAS Cal for load,114 RSR Cal for load,115 KGE Cal for load,116 NSE Cal for yield,117 R2 Cal for yield,118 pBIAS Cal for yield,119 RSR Cal for yield,120 KGE Cal for yield,121 NSE Cal for conc,122 R2 Cal for conc,123 pBIAS Cal for conc,124 RSR Cal for conc,125 KGE Cal for conc,126 NSE Cal for load,127 R2 Cal for load,128 pBIAS Cal for load,129 RSR Cal for load,130 KGE Cal for load,131 NSE Cal for yield,132 R2 Cal for yield,133 pBIAS Cal for yield,134 RSR Cal for yield,135 KGE Cal for yield,136 NSE Cal for conc,137 R2 Cal for conc,138 pBIAS Cal for conc,139 RSR Cal for conc,140 KGE Cal for conc,141 NSE Cal for load,142 R2 Cal for load,143 pBIAS Cal for load,144 RSR Cal for load,145 KGE Cal for load,146 NSE Cal for yield,147 R2 Cal for yield,148 pBIAS Cal for yield,149 RSR Cal for yield,150 KGE Cal for yield
0.69,0.87,,,,0.56,0.79,-5,0.52,,0.744,0.52,-11.1,0.7,,0.51,0.98,,,,,,,,,,,,,,0.41,0.98,,,,0.63,0.64,-10.7,,,-25.66,,,,,0.57,,-23.9,,,0.66,0.79,-19.58,,,-0.04,0.03,-63,,,0.42,,-2.9,,,,,,,,,,,,,0,0.79,19.5,,,0.39,0.62,-0.16,,,,,,,,0.93,0.96,15.1,,,0.92,0.62,17.77,,,,,,,,,,,,,,,,,,,,,,,-0.36,0.5,,,,0.82,0.56,4.1,0.579,,,,,,,0.984,0.62,,,,-0.17,0.91,20.77,,,,,,,
0.65,0.68,,,,0.67,0.92,-2,0.61,,0.745,0.9,-10.5,0.6,,-2.26,0.6,,,,,,,,,,,,,,0.44,0.95,,,,0.67,0.11,44,,,0.49,,,,,0.51,,-4.6,,,0.55,0.86,15.49,,,-0.73,0.83,-22,,,0.86,,15.4,,,,,,,,,,,,,0.3,0.97,3.4,,,0.5,0.86,19.9,,,,,,,,0.6,,58.4,,,0.36,0.77,12.49,,,,,,,,,,,,,,,,,,,,,,,0.3,0.49,,,,0.71,0.74,6.12,0.69,,,,,,,0.78,0.73,,,,0.54,0.9,-7.64,,,,,,,
0.81,0.88,,,,0.57,0.723333333,-11,0.55,,0.95,0.8,-29.6,0.44,,,0.7,,,,,,,,,,,,,,0.66,,,,,0.63,0.92,29.5,,,0.29,,,,,0.49,,-10.4,,,0.43,0.57,35.8,,,0.464,0.81,,,,-2.15,,0.8,,,,,,,,,,,,,0.82,0.63,2.9,,,0.49,0.99,0.07,,,,,,,,0.9,,-11.8,,,0.68,0.63,49.7,,,,,,,,,,,,,,,,,,,,,,,0.73,0.77,,,,0.843,0.823333333,-4.3,0.13,,,,,,,0.51,0.81,,,,0.06,0.42,-7.1,,,,,,,
0.96,0.97,,,,0.39,0.905,-8,0.51,,0.75,0.926,-8.25,0.57,,,0.56,,,,,,,,,,,,,,0.51,,,,,0.4,0.79,6.6,,,0.61,,,,,0.75,,-22.1,,,0.52,0.77,3.5,,,0.28,0.5,,,,0,,0.71,,,,,,,,,,,,,0.72,0.95,3.8,,,0.72,0.52,0.71,,,,,,,,-0.07,,38.4,,,0.76,0.39,-4.7,,,,,,,,,,,,,,,,,,,,,,,0.86,0.66,,,,0.6,0.65,44,0.8,,,,,,,0.67,0.996,,,,0.51,0.15,0.8,,,,,,,
0.58,0.87,,,,0.67,0.86,-6,0.54,,0.885,0.78,4.03,0.25,,,0.18,,,,,,,,,,,,,,0.34,,,,,0.63,0.42,-159,,,-1.76,,,,,0.64,,-18.4,,,0.7,,14.4,,,-12.1,0.6,,,,0.83,,0.29,,,,,,,,,,,,,0.53,0.95,7,,,0.89,0,-10,,,,,,,,0.47,,-3.4,,,0.79,0.57,3.61,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,0.55,0.76,12,,,,,,,,0.57,0.62,,,,0.37,0.82,13.2,,,,,,,
0.42,0.45,,,,0.86,0.7,28.86666667,0.33,,0.77,0.71,-0.8,0.58,,,0.2,,,,,,,,,,,,,,-0.03,,,,,-8.73,0.43,-106,,,,,,,,0.51,,-9.4,,,0.78,,57.86,,,-1.4,0.84,,,,0.8,,0.2,,,,,,,,,,,,,0.66,,2.75,,,0.73,0.16,-14,,,,,,,,0.72,,12.3,,,0.92,0.03,-11.5,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,0.39,,-14.975,,,,,,,,0.52,0.81,,,,0.87,0.8,12,,,,,,,
0.75,0.83,,,,0.93,0.69,18.12,0.47,,0.91,0.866,-15.6,0.64,,,,,,,,,,,,,,,,,0.43,,,,,0.59,0.47,-104,,,,,,,,0.74,,,,,0.62,,19.07,,,0.83,,,,,0.71,,,,,,,,,,,,,,,0.43,,-7.38,,,0.85,0.42,0.02,,,,,,,,0.74,,,,,0.4,0.68,48.8,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,0.69,,8.43,,,,,,,,0.58,0.73,,,,0.63,0.65,56,,,,,,,
0.92,0.95,,,,0.82,0.73,22.15,0.35,,0.93,0.94,-5.9,,,,,,,,,,,,,,,,,,0.85,,,,,0.2,0.07,-70,,,,,,,,0.55,,,,,0.51,,,,,,,,,,0.29,,,,,,,,,,,,,,,0.66,,-8.83,,,0.05,0.22,0.23,,,,,,,,0.61,,,,,0.68,0.49,0.2,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,0.88,,9,,,,,,,,0.54,0.62,,,,0.84,0.88,48.2,,,,,,,
0.62,0.82,,,,0.78,0.74,16.96,0.66,,0.81,0.89,-4.61,,,,,,,,,,,,,,,,,,,,,,,0.88,0.52,-110,,,,,,,,,,,,,0.35,,,,,,,,,,0.2,,,,,,,,,,,,,,,0.66,,-8.02,,,0.42,0.98,-0.03,,,,,,,,-8.55,,,,,0.46,0.12,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,0.786,,-2.9,,,,,,,,0.45,0.67,,,,0.88,0.71,68.54,,,,,,,
0.86,0.67,,,,0.6,0.62,-7.525,0.49,,0.75,0.79,-9.02,,,,,,,,,,,,,,,,,,,,,,,0.56,0.76,23.97,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,-3.09,,,0.7,0.84,20.2,,,,,,,,-0.88,,,,,-0.55,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,0.53,,1.2,,,,,,,,0.7,0.65,,,,0.74,0.6,26.78,,,,,,,
0.63,0.71,,,,0.5,0.79,19.4,0.59,,0.79,0.81,-8.86,,,,,,,,,,,,,,,,,,,,,,,-4.68,0.735,39.27,,,,,,,,,,,,,0.562,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,43.9,,,0.46,0.4,20.6,,,,,,,,0.91,,,,,0.7,0.99,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,0.98,,-14,,,,,,,,0.46,0.46,,,,-0.107,0.74,44,,,,,,,
0.74,0.86,,,,0.82,0.82,-26,0.51,,0.63,0.78,24.36,,,,,,,,,,,,,,,,,,,,,,,-4.53,0.62,24.38,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,-5.53,,-44.4,,,0.14,0.5,10,,,,,,,,-7.23,,,,,0.61,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,-2,,,,,,,,0.51,0.79,,,,0.71,0.73,12,,,,,,,
0.58,0.91,,,,0.67,0.93,-15,,,0.58,0.88,10.63,,,,,,,,,,,,,,,,,,,,,,,-9.16,0.61,15.01,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,-27.4,,,-0.45,,4.2,,,,,,,,-0.94,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,0.48,0.89,,,,0.272,0.61,20.85,,,,,,,
0.92,0.92,,,,0.95,0.98,-18,,,0.683,0.92,-17.5,,,,,,,,,,,,,,,,,,,,,,,-0.67,0.52,12.54,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,-14.2,,,0.74,,-10.2,,,,,,,,0.88,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.75,,,,0.6,0.45,6,,,,,,,
0.56,0.69,,,,0.71,0.73,-37,,,0.78,0.94,7.86,,,,,,,,,,,,,,,,,,,,,,,-2.1,0.57,12.07,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,42.7,,,0.69,,-25.4,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,-0.22,0.55,5.35,,,,,,,
0.9,0.73,,,,0.663333333,0.72,-24,,,0.71,0.92,8.51,,,,,,,,,,,,,,,,,,,,,,,0.765,0.51,-10.4,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,-2.57,,-2.9,,,0.46,,34.9,,,,,,,,,,,,,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,0.23,0.46,4.71,,,,,,,
0.65,0.94,,,,0.91,0.66,-18.9,,,0.76,0.903333333,-1.1,,,,,,,,,,,,,,,,,,,,,,,0.68,0.61,,,,,,,,,,,,,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,15.6,,,0.15,,0.3,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.44,35.38,,,,,,,
0.78,0.65,,,,0.94,0.81,23.6,,,0.68,0.82,21.1,,,,,,,,,,,,,,,,,,,,,,,0.52,0.37,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,0.37,,21.4,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.87,15.52,,,,,,,
0.82,,,,,0.8,0.716,-11.4,,,0.89,0.81,13.91,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,-0.13,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,25.3,,,,,,,
0.79,,,,,0.59,0.678,17,,,0.83,0.69,-4,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,0.09,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,-0.51,,,,,,,
0.81,,,,,0.98,0.99,-4,,,0.83,0.86,14,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,-0.11,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,41.8,,,,,,,
,,,,,0.53,0.69,-23.97,,,0.77,0.82,-16,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,30.1,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,8.5,,,,,,,
,,,,,0.66,0.71,-12.47,,,0.89,0.9,-1,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,-12,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,
,,,,,0.63,0.72,-11.24,,,0.82,0.83,40,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,-5,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,
,,,,,0.71,0.74,-4.54,,,0.92,0.92,24,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,,,,,,,
,,,,,0.32,0.43,-7,,,0.89,0.9,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,
,,,,,-0.2,0.7,-22,,,0.9,0.91,10.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,
,,,,,-0.1,0.84,-5.38,,,0.87,0.91,-6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,
,,,,,0.7,0.53,2.59,,,0.9,0.86,-7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,
,,,,,0.47,0.57,-2.5,,,0.698,0.84,-1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,
,,,,,0.72,0.73,19.65,,,0.82,0.9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,
,,,,,0.59,0.62,1.11,,,0.8,0.86,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,,,,,,,
,,,,,0.75,0.76,0.9,,,0.83,0.87,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.72,0.72,-49.54,,,0.8,0.74,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.91,0.79,23.03,,,0.77,0.89,-11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.7,0.67,-34.1,,,0.49,0.88,-11.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.76,0.81,9.88,,,0.5,0.88,-11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.56,0.64,6,,,0.84,0.87,-14.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.77,0.47,-6,,,0.84,0.92,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.8,0.22,18,,,0.42,0.77,-10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.63,0.08,-24.8,,,0.84,0.81,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.44,0.44,-0.1,,,0.92,0.72,-13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.15,0.74,-0.63,,,0.91,0.89,-6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.01,0.65,-2.9,,,0.56,0.66,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.13,0.84,-0.1,,,0.95,0.79,19.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.73,0.84,6.24,,,0.88,0.89,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
